"","Knowledge.Mutual","History.Mutual","Knowledge.Self","History.Self","Knowledge.Opponent","History.Opponent"
"Attack Proportion",0.5,0.5,0.5,0.5,0.5,0.5
"Directional Consitancy Index",0.397464400098546,0.488473942969518,0.476126139443213,0.533055929465168,0.472525252525253,0.483225424981523
"Triangle Transitivity",0.49849837836936,0.803351777802866,0.618697920110736,0.585601919425906,0.738888443949445,0.816033717139802
"Steepness",0.383837985743529,0.507453704086954,0.429085924611596,0.482973220572498,0.475895129158332,0.516858177837524
"Average Attacks",450.1,450.4,450.1,450.6,450.1,450.1
"Average Avoids",450.1,450.1,450.1,450.6,450.1,450.1
