"","Knowledge.Mutual","History.Mutual","Knowledge.Self","History.Self","Knowledge.Opponent","History.Opponent"
"Attack Proportion",0.5,0.5,0.5,0.5,0.5,0.5
"Directional Consitancy Index",0.316888888888889,0.345333333333333,0.399270756343927,0.398794777038679,0.322666666666667,0.369333333333333
"Triangle Transitivity",0.225045702490786,0.468335245516455,0.451258471674727,0.636023421023421,0.328565502660463,0.521314624896191
"Steepness",0.255538044739173,0.341678703843553,0.372639724842916,0.450346683442551,0.295920541789469,0.362322653285168
"Average Attacks",450,450,450.1,450.1,450,450
"Average Avoids",450,450,450.1,450.1,450,450
