"","Knowledge.Mutual","History.Mutual","Knowledge.Self","History.Self","Knowledge.Opponent","History.Opponent"
"Attack Proportion",0.5,0.5,0.499944506104329,0.499944506104329,0.5,0.5
"Directional Consitancy Index",0.911555555555556,0.919111111111111,0.908,0.939555555555556,0.909777777777778,0.922666666666667
"Triangle Transitivity",0.98952380952381,0.992820512820513,1,0.996666666666667,0.986428571428571,1
"Steepness",0.874185564335162,0.866771247586784,0.853149897221581,0.852926155456615,0.861028562066501,0.853303440802047
"Average Attacks",450,450,450,450,450,450
"Average Avoids",450,450,450.1,450.1,450,450
