"","Knowledge.Mutual","History.Mutual","Knowledge.Self","History.Self","Knowledge.Opponent","History.Opponent"
"Attack Proportion",0.500055493895671,0.499833764405649,0.499944506104329,0.499833641223054,0.500221729490022,0.5
"Directional Consitancy Index",0.909368810051737,0.915117023897512,0.910666666666667,0.904061098792806,0.913860434694452,0.92089775806849
"Triangle Transitivity",0.98952380952381,0.989010989010989,0.99,0.988696801480307,0.992857142857143,0.993095238095238
"Steepness",0.865081692835551,0.86965343627931,0.859563718259259,0.838180074100267,0.871535104482825,0.87506556851744
"Average Attacks",450.2,450.1,450,450.3,450.5,450.1
"Average Avoids",450.1,450.4,450.1,450.6,450.1,450.1
