"","Knowledge.Mutual","History.Mutual","Knowledge.Self","History.Self","Knowledge.Opponent","History.Opponent"
"Attack Proportion",0.5,0.5,0.499944506104329,0.499944506104329,0.5,0.5
"Directional Consitancy Index",0.392888888888889,0.469777777777778,0.469333333333333,0.529333333333333,0.407555555555556,0.52
"Triangle Transitivity",0.687112220933562,0.722158070800932,0.78340542951482,0.768962697467548,0.627180842861549,0.749188005911448
"Steepness",0.370345799240582,0.447803886725277,0.445278784312718,0.474080389930639,0.367056986934312,0.466955876241931
"Average Attacks",450,450,450,450,450,450
"Average Avoids",450,450,450.1,450.1,450,450
