"","Knowledge.Mutual","History.Mutual","Knowledge.Self","History.Self","Knowledge.Opponent","History.Opponent"
"Attack Proportion",0.500055493895671,0.499833764405649,0.499944506104329,0.499833641223054,0.500221729490022,0.5
"Directional Consitancy Index",0.237220004927322,0.249940379403794,0.249777777777778,0.220083764474008,0.239960071249948,0.249946292190195
"Triangle Transitivity",-0.00548552604518489,0.0693608309478539,0.0185914841844469,0.0798993359537496,0.183044002652195,0.00129395621631647
"Steepness",0.141210268418459,0.167299228503831,0.154046492311833,0.167138557661878,0.155483952746548,0.146538125117213
"Average Attacks",450.1,450.4,450.1,450.6,450.1,450.1
"Average Avoids",450.1,450.4,450.1,450.6,450.1,450.1
