"triangle.transitivity","escalation","dci","steepness","slope","variable","strategy","distribution"
0.593220338983051,0.5,0.36,-0.396806449796881,-0.0216000083684251,"rhp","mutual","clumped"
0.384615384615385,0.5,0.395555555555556,-0.344207442389261,-0.0233835036273606,"rhp","mutual","clumped"
0.5,0.5,0.36,-0.350801339339898,-0.0218006001774615,"rhp","mutual","clumped"
0.210526315789474,0.5,0.453333333333333,-0.400081236159881,-0.0277102499068485,"rhp","mutual","clumped"
0.628865979381443,0.5,0.453333333333333,-0.472648363952192,-0.0233196724718674,"rhp","mutual","clumped"
0.561643835616438,0.5,0.368888888888889,-0.428974425648363,-0.026829645878725,"rhp","mutual","clumped"
0.809523809523809,0.5,0.377777777777778,-0.418683849820213,-0.0260153756914277,"rhp","mutual","clumped"
0.580952380952381,0.5,0.457777777777778,-0.413339543597501,-0.0263703474997007,"rhp","mutual","clumped"
0.298969072164948,0.5,0.41019955654102,-0.334400615411733,-0.022059779543183,"rhp","mutual","clumped"
0.416666666666667,0.5,0.337777777777778,-0.278436591319366,-0.0307247792180301,"rhp","mutual","clumped"
0.846153846153846,0.5,0.56,-0.555561503756691,-0.0242268668424896,"rhp","self","clumped"
0.422222222222222,0.5,0.404444444444444,-0.349303994678326,-0.029509927121532,"rhp","self","clumped"
0.384615384615385,0.5,0.364444444444444,-0.344820422350648,-0.024714379976248,"rhp","self","clumped"
0.730769230769231,0.5,0.613333333333333,-0.532425000766531,-0.0282182692255629,"rhp","self","clumped"
0.257731958762887,0.5,0.328888888888889,-0.228748155244074,-0.018519779734272,"rhp","self","clumped"
0.714285714285714,0.5,0.432372505543237,-0.417516599562054,-0.0277102038421651,"rhp","self","clumped"
0.506849315068493,0.5,0.471111111111111,-0.442710014782207,-0.0264695277794329,"rhp","self","clumped"
0.657142857142857,0.5,0.386666666666667,-0.333074570507726,-0.0263986110245867,"rhp","self","clumped"
0.911111111111111,0.5,0.604444444444444,-0.528798382593837,-0.0294910876244064,"rhp","self","clumped"
0.75609756097561,0.5,0.595555555555556,-0.557900601873864,-0.0287203724030481,"rhp","self","clumped"
0.894736842105263,0.5,0.636363636363636,-0.542107998840635,-0.0226442911670341,"rhp","opponent","clumped"
0.549295774647887,0.5,0.395555555555556,-0.36994265700283,-0.0198800674456218,"rhp","opponent","clumped"
0.673469387755102,0.5,0.444444444444444,-0.387090239429812,-0.0220170448528586,"rhp","opponent","clumped"
0.876288659793814,0.5,0.484444444444444,-0.569875946311353,-0.0214361578085356,"rhp","opponent","clumped"
0.434782608695652,0.5,0.351111111111111,-0.322931346848123,-0.020966648630849,"rhp","opponent","clumped"
1,0.5,0.502222222222222,-0.558718363811272,-0.0206934944670937,"rhp","opponent","clumped"
0.604395604395604,0.5,0.426666666666667,-0.449508267149103,-0.0186081801851777,"rhp","opponent","clumped"
0.546391752577319,0.5,0.417777777777778,-0.431747176261916,-0.0179762193192667,"rhp","opponent","clumped"
0.809523809523809,0.5,0.546666666666667,-0.556970698550701,-0.0185585915102825,"rhp","opponent","clumped"
1,0.5,0.52,-0.570058597377577,-0.0197861136690429,"rhp","opponent","clumped"
0.78021978021978,0.5,0.422222222222222,-0.465276629592655,-0.0275958273318311,"history","mutual","clumped"
0.911111111111111,0.5,0.457777777777778,-0.486573024236114,-0.0235602172154123,"history","mutual","clumped"
0.769230769230769,0.5,0.475555555555556,-0.538627576382713,-0.0227577442669439,"history","mutual","clumped"
0.551020408163265,0.5,0.424778761061947,-0.368292763568587,-0.0309369558833348,"history","mutual","clumped"
0.912087912087912,0.5,0.466666666666667,-0.478613383030379,-0.0224736404836734,"history","mutual","clumped"
1,0.5,0.515555555555556,-0.58170653173327,-0.0219481802461041,"history","mutual","clumped"
0.662650602409638,0.5,0.48,-0.465126254217163,-0.0262554337423869,"history","mutual","clumped"
0.80722891566265,0.5,0.515555555555556,-0.545417434615296,-0.0199909919878631,"history","mutual","clumped"
0.846153846153846,0.5,0.617777777777778,-0.613854169279866,-0.0205275844276113,"history","mutual","clumped"
0.793814432989691,0.5,0.508849557522124,-0.531049274213502,-0.0212498107774331,"history","mutual","clumped"
0.666666666666667,0.5,0.583148558758315,-0.547338592285116,-0.0250027517944097,"history","self","clumped"
0.666666666666667,0.5,0.462222222222222,-0.449119996660104,-0.0303734045501171,"history","self","clumped"
0.549295774647887,0.5,0.504424778761062,-0.418245475063657,-0.0295622238821651,"history","self","clumped"
0.903614457831325,0.5,0.528888888888889,-0.508758769184558,-0.026437473083164,"history","self","clumped"
0.5,0.5,0.578713968957871,-0.495266916189376,-0.0261685428462646,"history","self","clumped"
0.587628865979382,0.5,0.565410199556541,-0.524228002637094,-0.0261730345883202,"history","self","clumped"
0.384615384615385,0.5,0.51219512195122,-0.401273578971299,-0.0311724664512231,"history","self","clumped"
0.608695652173913,0.5,0.528888888888889,-0.474310411810412,-0.025785940909657,"history","self","clumped"
0.515151515151515,0.5,0.551111111111111,-0.516167026675048,-0.0264420048377054,"history","self","clumped"
0.473684210526316,0.5,0.515555555555556,-0.495023436248317,-0.0281475867819491,"history","self","clumped"
0.642857142857143,0.5,0.528888888888889,-0.53885392604081,-0.0191953971194827,"history","opponent","clumped"
