"","0","1","2","3","4","5","6","7","8","9"
"0",0,3,6,8,5,7,5,7,12,4
"1",6,0,3,7,4,3,5,5,9,1
"2",3,4,0,8,7,4,6,3,5,2
"3",6,4,5,0,8,4,11,4,2,7
"4",6,2,5,6,0,9,9,7,5,5
"5",5,5,2,2,12,0,4,6,4,1
"6",6,1,4,10,9,4,0,6,2,7
"7",5,6,3,3,7,3,2,0,3,3
"8",7,6,2,6,6,6,3,1,0,2
"9",3,3,1,4,8,7,8,3,2,0
