"","0","1","2","3","4","5","6","7","8","9"
"0",0,2,0,7,9,2,9,5,5,6
"1",11,0,3,4,8,2,7,8,6,6
"2",7,2,0,5,1,1,6,3,2,4
"3",1,3,3,0,1,4,2,5,7,1
"4",5,1,1,4,0,4,7,5,3,2
"5",5,2,1,10,9,0,5,4,5,11
"6",11,5,6,7,3,2,0,9,5,7
"7",10,1,4,8,7,0,2,0,4,8
"8",7,3,4,8,11,4,5,8,0,7
"9",12,3,1,10,3,6,5,8,4,0
