BehaviorSpace results (NetLogo 6.2.2),,,,,,,,,,,,
dominance_despotism_energy.nlogo,,,,,,,,,,,,
initiator-experiment,,,,,,,,,,,,
12/12/2022 11:22:36:990 -0500,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,
-10,10,-10,10,,,,,,,,,
[run number],winning,resource-dist,assessment-info,assessment-who,[step],ticks,sum [victory-counter] of victories,sum [avoid-counter] of fightsavoided,foraging-efficiency-time,,,
57,initiator,uniform,knowledge,self,33919,33919,450,896,0.720749432,,,0.334323923
78,initiator,clumped,history,opponent,6114,6114,450,729,0.519970559,,,0.381679389
79,initiator,clumped,history,opponent,5980,5980,450,639,0.533896321,,,0.41322314
54,initiator,uniform,knowledge,self,39914,39914,450,1228,0.719754973,,,0.2681764
80,initiator,clumped,history,opponent,6085,6085,451,758,0.516236647,,,0.373035567
60,initiator,uniform,knowledge,self,33230,33230,450,790,0.72071923,,,0.362903226
82,initiator,clumped,history,self,6031,6031,450,683,0.519665064,,,0.39717564
83,initiator,clumped,history,self,6047,6047,450,718,0.516702497,,,0.385273973
81,initiator,clumped,history,self,6016,6016,450,661,0.528041888,,,0.405040504
85,initiator,clumped,history,self,6051,6051,450,778,0.514559577,,,0.366449511
84,initiator,clumped,history,self,6050,6050,450,734,0.524380165,,,0.380067568
86,initiator,clumped,history,self,6104,6104,451,734,0.527719528,,,0.380590717
87,initiator,clumped,history,self,5994,5994,450,683,0.527827828,,,0.39717564
59,initiator,uniform,knowledge,self,36447,36447,450,970,0.72092902,,,0.316901408
88,initiator,clumped,history,self,6027,6027,450,666,0.523759748,,,0.403225806
89,initiator,clumped,history,self,6138,6138,450,775,0.534343434,,,0.367346939
90,initiator,clumped,history,self,6072,6072,450,732,0.529133729,,,0.38071066
91,initiator,clumped,knowledge,mutual,5900,5900,450,572,0.502169492,,,0.440313112
92,initiator,clumped,knowledge,mutual,5929,5929,450,586,0.524894586,,,0.434362934
94,initiator,clumped,knowledge,mutual,5885,5885,451,628,0.50468989,,,0.417979611
93,initiator,clumped,knowledge,mutual,6015,6015,450,626,0.542892768,,,0.418215613
95,initiator,clumped,knowledge,mutual,6051,6051,450,707,0.523582879,,,0.388936906
96,initiator,clumped,knowledge,mutual,6127,6127,450,777,0.516778195,,,0.366748166
97,initiator,clumped,knowledge,mutual,6058,6058,450,679,0.522268075,,,0.398582817
98,initiator,clumped,knowledge,mutual,6031,6031,450,670,0.524274581,,,0.401785714
99,initiator,clumped,knowledge,mutual,5945,5945,450,623,0.514179983,,,0.419384902
100,initiator,clumped,knowledge,mutual,5916,5916,450,584,0.522768763,,,0.435203095
101,initiator,clumped,knowledge,opponent,6080,6080,450,713,0.527319079,,,0.386930353
102,initiator,clumped,knowledge,opponent,6174,6174,450,835,0.521039845,,,0.350194553
103,initiator,clumped,knowledge,opponent,5877,5877,484,451,0.528143611,,,0.517647059
104,initiator,clumped,knowledge,opponent,5803,5803,453,451,0.509426159,,,0.501106195
105,initiator,clumped,knowledge,opponent,5871,5871,450,452,0.544200307,,,0.498891353
58,initiator,uniform,knowledge,self,44509,44509,450,1345,0.72087443,,,0.250696379
107,initiator,clumped,knowledge,opponent,5834,5834,451,515,0.52252314,,,0.466873706
106,initiator,clumped,knowledge,opponent,5907,5907,581,450,0.522634163,,,0.563530553
108,initiator,clumped,knowledge,opponent,6025,6025,451,680,0.50393361,,,0.398762157
111,initiator,clumped,knowledge,self,6003,6003,450,658,0.519323671,,,0.406137184
