"BehaviorSpace results (NetLogo 6.2.2)"
"dominance_despotism_energy.nlogo"
"initiator-experiment"
"12/12/2022 11:24:07:568 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","1","1","1","1","2","2","2","2","3","3","3","3","4","4","4","4","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","9","9","9","9","10","10","10","10","11","11","11","11","12","12","12","12","13","13","13","13","14","14","14","14","15","15","15","15","16","16","16","16","17","17","17","17","18","18","18","18","19","19","19","19","20","20","20","20","21","21","21","21","22","22","22","22","23","23","23","23","24","24","24","24","25","25","25","25","26","26","26","26","27","27","27","27","28","28","28","28","29","29","29","29","30","30","30","30","31","31","31","31","32","32","32","32","33","33","33","33","34","34","34","34","35","35","35","35","36","36","36","36","37","37","37","37","38","38","38","38","39","39","39","39","40","40","40","40","41","41","41","41","42","42","42","42","43","43","43","43","44","44","44","44","45","45","45","45","46","46","46","46","47","47","47","47","48","48","48","48","49","49","49","49","50","50","50","50","51","51","51","51","52","52","52","52","53","53","53","53","54","54","54","54","55","55","55","55","56","56","56","56","57","57","57","57","58","58","58","58","59","59","59","59","60","60","60","60","61","61","61","61","62","62","62","62","63","63","63","63","64","64","64","64","65","65","65","65","66","66","66","66","67","67","67","67","68","68","68","68","69","69","69","69","70","70","70","70","71","71","71","71","72","72","72","72","73","73","73","73","74","74","74","74","75","75","75","75","76","76","76","76","77","77","77","77","78","78","78","78","79","79","79","79","80","80","80","80","81","81","81","81","82","82","82","82","83","83","83","83","84","84","84","84","85","85","85","85","86","86","86","86","87","87","87","87","88","88","88","88","89","89","89","89","90","90","90","90","91","91","91","91","92","92","92","92","93","93","93","93","94","94","94","94","95","95","95","95","96","96","96","96","97","97","97","97","98","98","98","98","99","99","99","99","100","100","100","100","101","101","101","101","102","102","102","102","103","103","103","103","104","104","104","104","105","105","105","105","106","106","106","106","107","107","107","107","108","108","108","108","109","109","109","109","110","110","110","110","111","111","111","111","112","112","112","112","113","113","113","113","114","114","114","114","115","115","115","115","116","116","116","116","117","117","117","117","118","118","118","118","119","119","119","119","120","120","120","120"
"winning","initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,,"initiator",,,
"resource-dist","uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"uniform",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,,"clumped",,,
"assessment-info","history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"history",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,,"knowledge",,,
"assessment-who","mutual",,,,"mutual",,,,"mutual",,,,"mutual",,,,"mutual",,,,"mutual",,,,"mutual",,,,"mutual",,,,"mutual",,,,"mutual",,,,"opponent",,,,"opponent",,,,"opponent",,,,"opponent",,,,"opponent",,,,"opponent",,,,"opponent",,,,"opponent",,,,"opponent",,,,"opponent",,,,"self",,,,"self",,,,"self",,,,"self",,,,"self",,,,"self",,,,"self",,,,"self",,,,"self",,,,"self",,,,"mutual",,,,"mutual",,,,"mutual",,,,"mutual",,,,"mutual",,,,"mutual",,,,"mutual",,,,"mutual",,,,"mutual",,,,"mutual",,,,"opponent",,,,"opponent",,,,"opponent",,,,"opponent",,,,"opponent",,,,"opponent",,,,"opponent",,,,"opponent",,,,"opponent",,,,"opponent",,,,"self",,,,"self",,,,"self",,,,"self",,,,"self",,,,"self",,,,"self",,,,"self",,,,"self",,,,"self",,,,"mutual",,,,"mutual",,,,"mutual",,,,"mutual",,,,"mutual",,,,"mutual",,,,"mutual",,,,"mutual",,,,"mutual",,,,"mutual",,,,"opponent",,,,"opponent",,,,"opponent",,,,"opponent",,,,"opponent",,,,"opponent",,,,"opponent",,,,"opponent",,,,"opponent",,,,"opponent",,,,"self",,,,"self",,,,"self",,,,"self",,,,"self",,,,"self",,,,"self",,,,"self",,,,"self",,,,"self",,,,"mutual",,,,"mutual",,,,"mutual",,,,"mutual",,,,"mutual",,,,"mutual",,,,"mutual",,,,"mutual",,,,"mutual",,,,"mutual",,,,"opponent",,,,"opponent",,,,"opponent",,,,"opponent",,,,"opponent",,,,"opponent",,,,"opponent",,,,"opponent",,,,"opponent",,,,"opponent",,,,"self",,,,"self",,,,"self",,,,"self",,,,"self",,,,"self",,,,"self",,,,"self",,,,"self",,,,"self",,,
"[steps]","49214","49214","49214","49214","48173","48173","48173","48173","46272","46272","46272","46272","49402","49402","49402","49402","51393","51393","51393","51393","52926","52926","52926","52926","46838","46838","46838","46838","50359","50359","50359","50359","50645","50645","50645","50645","47389","47389","47389","47389","47331","47331","47331","47331","48840","48840","48840","48840","48957","48957","48957","48957","50816","50816","50816","50816","47564","47564","47564","47564","49560","49560","49560","49560","47223","47223","47223","47223","45208","45208","45208","45208","45987","45987","45987","45987","52048","52048","52048","52048","48267","48267","48267","48267","47957","47957","47957","47957","53316","53316","53316","53316","51111","51111","51111","51111","52857","52857","52857","52857","47120","47120","47120","47120","49417","49417","49417","49417","50728","50728","50728","50728","55841","55841","55841","55841","50049","50049","50049","50049","40911","40911","40911","40911","46149","46149","46149","46149","41081","41081","41081","41081","39905","39905","39905","39905","44585","44585","44585","44585","46130","46130","46130","46130","44696","44696","44696","44696","40014","40014","40014","40014","44095","44095","44095","44095","45313","45313","45313","45313","29449","29449","29449","29449","30157","30157","30157","30157","29232","29232","29232","29232","34950","34950","34950","34950","46403","46403","46403","46403","31359","31359","31359","31359","36659","36659","36659","36659","37401","37401","37401","37401","27192","27192","27192","27192","40719","40719","40719","40719","35562","35562","35562","35562","33324","33324","33324","33324","36916","36916","36916","36916","39914","39914","39914","39914","33998","33998","33998","33998","41074","41074","41074","41074","33919","33919","33919","33919","44509","44509","44509","44509","36447","36447","36447","36447","33230","33230","33230","33230","6096","6096","6096","6096","6001","6001","6001","6001","6093","6093","6093","6093","6089","6089","6089","6089","6046","6046","6046","6046","5917","5917","5917","5917","6017","6017","6017","6017","6100","6100","6100","6100","6099","6099","6099","6099","6103","6103","6103","6103","6046","6046","6046","6046","5958","5958","5958","5958","5952","5952","5952","5952","5994","5994","5994","5994","6091","6091","6091","6091","6082","6082","6082","6082","6042","6042","6042","6042","6114","6114","6114","6114","5980","5980","5980","5980","6085","6085","6085","6085","6016","6016","6016","6016","6031","6031","6031","6031","6047","6047","6047","6047","6050","6050","6050","6050","6051","6051","6051","6051","6104","6104","6104","6104","5994","5994","5994","5994","6027","6027","6027","6027","6138","6138","6138","6138","6072","6072","6072","6072","5900","5900","5900","5900","5929","5929","5929","5929","6015","6015","6015","6015","5885","5885","5885","5885","6051","6051","6051","6051","6127","6127","6127","6127","6058","6058","6058","6058","6031","6031","6031","6031","5945","5945","5945","5945","5916","5916","5916","5916","6080","6080","6080","6080","6174","6174","6174","6174","5877","5877","5877","5877","5803","5803","5803","5803","5871","5871","5871","5871","5907","5907","5907","5907","5834","5834","5834","5834","6025","6025","6025","6025","6195","6195","6195","6195","5972","5972","5972","5972","6003","6003","6003","6003","5837","5837","5837","5837","6042","6042","6042","6042","5971","5971","5971","5971","5853","5853","5853","5853","5907","5907","5907","5907","5914","5914","5914","5914","6244","6244","6244","6244","5973","5973","5973","5973","5870","5870","5870","5870"

"[initial & final values]","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time"
,"49214","450","1666","0.7203661559718778","48173","450","1567","0.7202748427542399","46272","450","1554","0.720074775242047","49402","450","1591","0.7207926804582809","51393","450","1727","0.7202537310528672","52926","450","1766","0.720402070815856","46838","450","1547","0.7202933515521585","50359","450","1582","0.7206656208423519","50645","450","1730","0.7199427386711423","47389","450","1549","0.7203591550781826","47331","450","1479","0.7202446599480256","48840","450","1575","0.7204791154791155","48957","450","1634","0.7205894969054476","50816","450","1729","0.7199071158690177","47564","450","1540","0.7201560003363889","49560","450","1564","0.7202522195318805","47223","450","1629","0.7202083730385618","45208","450","1575","0.7201291806759866","45987","450","1462","0.7201796159784287","52048","450","1715","0.7202063479864741","48267","450","1598","0.7203451633621315","47957","450","1621","0.7203223721250287","53316","450","1802","0.7202378272938705","51111","450","1635","0.7204339574651248","52857","450","1839","0.7202205951907978","47120","450","1512","0.7205220713073005","49417","450","1698","0.7198656332840925","50728","450","1733","0.7202531146506861","55841","450","1752","0.7207768485521392","50049","450","1605","0.7203200863154109","40911","450","1252","0.7206008164063455","46149","451","1457","0.7202951309887539","41081","450","1218","0.720802804216061","39905","450","1247","0.7201378273399324","44585","450","1380","0.7200560726701806","46130","450","1521","0.7197290266637763","44696","450","1440","0.7203485770538751","40014","450","1088","0.7204053581246563","44095","450","1391","0.7200748384170541","45313","450","1391","0.7199104009886789","29449","450","658","0.720944684030018","30157","450","667","0.7209735716417415","29232","450","647","0.7209906951286262","34950","450","918","0.7206494992846926","46403","450","1442","0.7202077451888887","31359","450","784","0.7208712012500398","36659","450","1046","0.7205542977167954","37401","450","983","0.7205074730622176","27192","450","617","0.7202302147690498","40719","450","1174","0.7201920479383089","35562","450","906","0.7209774478375794","33324","450","858","0.7206307766174529","36916","450","1004","0.7208554556289956","39914","450","1228","0.7197549731923636","33998","450","890","0.7207894582034238","41074","450","1335","0.7201757802989726","33919","450","896","0.7207494324714762","44509","450","1345","0.720874429890584","36447","450","970","0.7209290202211431","33230","450","790","0.7207192296117966","6096","450","739","0.5197998687664043","6001","451","684","0.5235460756540576","6093","450","769","0.5094534711964549","6089","450","710","0.534455575628182","6046","451","672","0.5437644723784321","5917","450","614","0.52869697481832","6017","450","661","0.5079109190626558","6100","450","726","0.5241803278688524","6099","450","697","0.5511067388096409","6103","450","743","0.5248074717352121","6046","452","761","0.5118260006615944","5958","450","622","0.5183115139308492","5952","450","645","0.5061995967741935","5994","450","661","0.5203536870203537","6091","450","749","0.5252339517320637","6082","450","684","0.5279020059191056","6042","450","710","0.5180734856007945","6114","450","729","0.5199705593719333","5980","450","639","0.5338963210702342","6085","451","758","0.5162366474938372","6016","450","661","0.5280418882978724","6031","450","683","0.519665063836843","6047","450","718","0.5167024971060029","6050","450","734","0.5243801652892561","6051","450","778","0.514559576929433","6104","451","734","0.5277195281782437","5994","450","683","0.5278278278278278","6027","450","666","0.5237597478015596","6138","450","775","0.5343434343434342","6072","450","732","0.5291337285902504","5900","450","572","0.5021694915254237","5929","450","586","0.524894585933547","6015","450","626","0.5428927680798005","5885","451","628","0.5046898895497025","6051","450","707","0.5235828788629979","6127","450","777","0.5167781948751429","6058","450","679","0.5222680752723672","6031","450","670","0.524274581329796","5945","450","623","0.5141799831791423","5916","450","584","0.5227687626774848","6080","450","713","0.5273190789473683","6174","450","835","0.5210398445092322","5877","484","451","0.528143610685724","5803","453","451","0.5094261588833362","5871","450","452","0.544200306591722","5907","581","450","0.5226341628576265","5834","451","515","0.5225231402125472","6025","451","680","0.5039336099585062","6195","450","897","0.5155125100887813","5972","450","606","0.5330375083724046","6003","450","658","0.5193236714975845","5837","470","451","0.5181600137056708","6042","450","748","0.5150281363786826","5971","450","663","0.5155082900686652","5853","510","450","0.5214078250469846","5907","450","535","0.5346707296427968","5914","452","603","0.5089279675346634","6244","451","924","0.512363869314542","5973","530","450","0.5504938891679222","5870","450","583","0.5106473594548552"
