"","0","1","2","3","4","5","6","7","8","9"
"0",0,1,3,4,2,10,4,3,4,14
"1",0,0,2,6,3,8,8,5,3,13
"2",1,1,0,3,3,3,7,4,1,5
"3",3,2,7,0,5,7,8,5,3,17
"4",4,3,6,4,0,6,5,3,0,17
"5",1,2,5,5,1,0,4,3,4,10
"6",1,2,6,5,9,6,0,3,1,10
"7",2,1,6,1,6,5,6,0,1,20
"8",4,8,8,4,2,9,5,4,0,12
"9",2,0,9,7,6,8,6,2,2,0
