"","0","1","2","3","4","5","6","7","8","9"
"0",0,8,6,3,6,2,2,7,7,9
"1",2,0,6,0,12,2,4,5,6,17
"2",0,6,0,3,3,2,2,8,1,5
"3",3,8,15,0,3,5,4,11,5,6
"4",2,4,5,0,0,1,3,15,3,7
"5",1,8,6,1,7,0,4,4,7,14
"6",5,7,14,9,6,4,0,3,3,10
"7",3,2,6,0,3,1,4,0,1,4
"8",4,8,2,2,9,4,3,7,0,15
"9",4,5,3,2,0,1,1,8,1,0
