who, energy-over-distance, energy-over-time
4, 2.6365472361433167, 0.7203024420149178
1, 2.662326911499097, 0.7229385920098089
2, 2.6398473168176033, 0.7207724532543169
6, 2.6288890546892487, 0.7200367834883008
8, 2.6289997762362947, 0.7202820067436395
0, 2.626481771415791, 0.7199141718606314
7, 2.627348643006263, 0.7200980893021355
9, 2.6323803836679853, 0.7206702768979258
5, 2.6260811213838355, 0.7197506896904057
3, 2.653268219383922, 0.721671605190559
who, energy-over-distance, energy-over-time
3, 2.6263350099910423, 0.7201753391527793
7, 2.6313319530710837, 0.720402070815856
6, 2.6289086767446674, 0.719589615689831
8, 2.6399861639571083, 0.7210255828893172
2, 2.6407753547940462, 0.7207421683104712
9, 2.6251635562289097, 0.7202509163738049
4, 2.614665658717614, 0.7188527377848316
1, 2.642274173467976, 0.7218002494048293
0, 2.6367279259361616, 0.7210822658050864
5, 2.622806413873787, 0.7200997619317537
