who, energy-over-distance, energy-over-time
6, 2.610371252138978, 0.7186955898318278
1, 2.6216155739539047, 0.7199655871689301
8, 2.6228724992535084, 0.7197197812327167
0, 2.6461480646373543, 0.7211741330219792
9, 2.640804382081489, 0.720907843257748
5, 2.633265932749195, 0.720252360761179
7, 2.632000598981731, 0.720068006309019
2, 2.6264384994769094, 0.7199451033409123
4, 2.6236093481669527, 0.7197607488887523
3, 2.634727845254161, 0.7198426842008234
who, energy-over-distance, energy-over-time
0, 2.6294360814289055, 0.7197574618899184
5, 2.6351857633468625, 0.7208249711772492
4, 2.64720156555773, 0.7220205815790597
8, 2.629788562066006, 0.7196293607754387
6, 2.632256554307116, 0.7202485161620906
9, 2.6252336448598133, 0.7196720611469319
2, 2.6353060587133044, 0.7206328195055297
1, 2.6318664169787764, 0.7201417652333575
3, 2.6411980918119964, 0.721059823220462
7, 2.615659468696598, 0.718946154831547
