who, energy-over-distance, energy-over-time
1, 2.635499080955806, 0.7207990907501312
6, 2.632899257010466, 0.7203182374541004
9, 2.631049353138476, 0.7200996677740864
7, 2.6220347078490684, 0.7199248120300752
8, 2.609792873581462, 0.7187882496940025
5, 2.6171228516868235, 0.7189193915020109
0, 2.6339571337172103, 0.719859241126071
3, 2.6258872318366695, 0.7196625284140584
2, 2.6285303973192917, 0.7200996677740864
4, 2.6222222222222222, 0.7195751005420528
who, energy-over-distance, energy-over-time
1, 2.6144108338853314, 0.7190397149912959
3, 2.6423909819044793, 0.7212258613011618
2, 2.638559573206876, 0.7208210193919274
5, 2.629747303088518, 0.7204364195781547
9, 2.649646971386102, 0.721650945305858
6, 2.6450942556033845, 0.7214282822557792
7, 2.6280649926144757, 0.7202947249099226
8, 2.6412157153447, 0.7212258613011618
0, 2.6374009039045716, 0.720557872150925
4, 2.6346495119787043, 0.7212461033966237
