who, energy-over-distance, energy-over-time
0, 2.6333659564857337, 0.7202808722690114
3, 2.625817116237133, 0.7196219343944978
7, 2.625694548731041, 0.7200749541832259
6, 2.6376582278481013, 0.7208574429092107
2, 2.6318796992481204, 0.7207956674834751
1, 2.647201027423132, 0.7215575644008814
9, 2.647129909365559, 0.7217017070609312
8, 2.6349600843500527, 0.7204456067376398
5, 2.623198198198198, 0.7194983835430265
4, 2.6139956544541842, 0.7184276094969421
who, energy-over-distance, energy-over-time
2, 2.627624063496773, 0.7197748608119641
7, 2.6534956677621753, 0.7218474417848579
4, 2.624491004664248, 0.720303165765839
3, 2.633298678152384, 0.7205266794001707
8, 2.6212693475523956, 0.7192059170154834
0, 2.6307817952334993, 0.7199983744462958
1, 2.6346953937592867, 0.7205876376640793
5, 2.635216390765348, 0.721319136830983
9, 2.638603543248474, 0.7202625269232332
6, 2.6241481481481483, 0.7198358190758727
