who, energy-over-distance, energy-over-time
9, 2.6271693596648715, 0.719672131147541
2, 2.6298537234042554, 0.720455373406193
4, 2.6494114499732477, 0.7215664845173042
8, 2.617467885048338, 0.7200182149362477
3, 2.624643165372104, 0.7201275045537341
7, 2.6369812828881636, 0.7211111111111111
0, 2.632118147951038, 0.7206921675774135
6, 2.649929798756435, 0.7219489981785063
5, 2.631652474720596, 0.7205646630236794
1, 2.6281233386496545, 0.7203642987249544
who, energy-over-distance, energy-over-time
4, 2.620184135977337, 0.7198840308991497
6, 2.608035588193758, 0.7186776409238612
3, 2.6259135741148087, 0.720078609927422
7, 2.623315841724578, 0.719825657190668
0, 2.6424800228310503, 0.720662347012239
1, 2.647419884376561, 0.7217519895705641
8, 2.6300163363875275, 0.7204872258867939
2, 2.6248404028940273, 0.7200396941217676
5, 2.6324470354045215, 0.7204872258867939
9, 2.636389521640091, 0.7206428891094118
