"","0","1","2","3","4","5","6","7","8","9"
"0",0,9,0,7,10,6,11,8,11,5
"1",0,0,0,7,12,3,12,8,12,0
"2",30,22,0,19,19,17,9,17,23,27
"3",0,0,0,0,0,0,0,0,0,0
"4",0,0,0,2,0,10,6,1,2,0
"5",0,0,0,1,0,0,2,1,0,0
"6",0,0,0,4,0,0,0,1,0,0
"7",0,0,0,7,0,4,2,0,0,0
"8",0,0,0,7,4,6,3,5,0,0
"9",7,7,0,7,14,9,8,13,13,0
