"BehaviorSpace results (NetLogo 6.2.2)"
"dominance_despotism_energy.nlogo"
"new results dec 22"
"12/23/2022 11:31:44:792 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","winning","resource-dist","assessment-info","assessment-who","[step]","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time"
"79","deterministic","clumped","history","self","16136","16136","450","608","0.5351512146752603"
"81","deterministic","clumped","history","opponent","16113","16113","450","560","0.5354744616148451"
"80","deterministic","clumped","history","self","16229","16229","450","725","0.5255899932220099"
"83","deterministic","clumped","history","opponent","16200","16200","450","627","0.5323950617283952"
"85","deterministic","clumped","history","opponent","16125","16125","450","611","0.5257612403100775"
"82","deterministic","clumped","history","opponent","16079","16079","450","535","0.5182411841532434"
"84","deterministic","clumped","history","opponent","16098","16098","450","604","0.5471425021741831"
"86","deterministic","clumped","history","opponent","16094","16094","450","572","0.542593513110476"
"87","deterministic","clumped","history","opponent","16126","16126","450","534","0.5479784199429492"
"88","deterministic","clumped","history","opponent","16207","16207","450","753","0.523872400814463"
"89","deterministic","clumped","history","opponent","16011","16011","450","564","0.5207857098244956"
"90","deterministic","clumped","history","opponent","16116","16116","451","645","0.5157607346736164"
"91","deterministic","clumped","knowledge","mutual","16212","16212","450","721","0.5166790032075006"
"92","deterministic","clumped","knowledge","mutual","16191","16191","450","681","0.5366499907355938"
"93","deterministic","clumped","knowledge","mutual","16071","16071","450","621","0.5244104287225437"
"94","deterministic","clumped","knowledge","mutual","16200","16200","450","658","0.550530864197531"
"95","deterministic","clumped","knowledge","mutual","16243","16243","450","789","0.5282706396601614"
"96","deterministic","clumped","knowledge","mutual","16197","16197","451","661","0.5292461566956844"
"98","deterministic","clumped","knowledge","mutual","16258","16258","451","784","0.5223766760979212"
"97","deterministic","clumped","knowledge","mutual","16191","16191","450","644","0.5408869124822433"
"101","deterministic","clumped","knowledge","self","16178","16178","450","647","0.5356039065397453"
"100","deterministic","clumped","knowledge","mutual","16230","16230","450","742","0.5131977818853973"
"99","deterministic","clumped","knowledge","mutual","16236","16236","450","720","0.5121581670362158"
"102","deterministic","clumped","knowledge","self","16130","16130","450","603","0.5099504029758215"
"103","deterministic","clumped","knowledge","self","16360","16360","450","876","0.5150366748166259"
"104","deterministic","clumped","knowledge","self","16056","16056","450","503","0.5248318385650225"
"105","deterministic","clumped","knowledge","self","16554","16554","450","979","0.5498550199347589"
"107","deterministic","clumped","knowledge","self","16136","16136","450","559","0.5590294992563213"
"106","deterministic","clumped","knowledge","self","16289","16289","450","697","0.534692123518939"
"108","deterministic","clumped","knowledge","self","16205","16205","450","687","0.5280160444307314"
"109","deterministic","clumped","knowledge","self","16016","16016","450","472","0.5316496003996005"
"110","deterministic","clumped","knowledge","self","16115","16115","450","547","0.5286627365808253"
"114","deterministic","clumped","knowledge","opponent","16002","16002","452","516","0.518628921384827"
"112","deterministic","clumped","knowledge","opponent","16199","16199","450","728","0.5184887956046669"
"111","deterministic","clumped","knowledge","opponent","16039","16039","479","451","0.5343911715194214"
"113","deterministic","clumped","knowledge","opponent","16265","16265","450","756","0.5216477098063326"
"115","deterministic","clumped","knowledge","opponent","16290","16290","452","776","0.5222651933701659"
"116","deterministic","clumped","knowledge","opponent","16077","16077","450","543","0.5209678422591278"
"117","deterministic","clumped","knowledge","opponent","16192","16192","450","745","0.5184103260869566"
"118","deterministic","clumped","knowledge","opponent","16111","16111","450","622","0.5144559617652535"
"119","deterministic","clumped","knowledge","opponent","16180","16180","450","645","0.519035846724351"
"120","deterministic","clumped","knowledge","opponent","16043","16043","450","519","0.5297886928878639"
"122","probabilistic","uniform","history","mutual","53456","53456","450","1339","0.7208133792277761"
"133","probabilistic","uniform","history","self","46467","46467","450","1050","0.7205952611530765"
"132","probabilistic","uniform","history","self","46611","46611","450","1003","0.7201175688142285"
"121","probabilistic","uniform","history","mutual","59455","59455","450","1513","0.7203044319233034"
"126","probabilistic","uniform","history","mutual","55891","55891","450","1470","0.7199710150113614"
"127","probabilistic","uniform","history","mutual","56227","56227","450","1522","0.7202429437814574"
"125","probabilistic","uniform","history","mutual","55323","55323","450","1350","0.720519494604414"
"128","probabilistic","uniform","history","mutual","54287","54287","450","1394","0.7202387311879456"
"123","probabilistic","uniform","history","mutual","58381","58381","450","1448","0.7202925609359209"
"129","probabilistic","uniform","history","mutual","55712","55712","450","1477","0.7202057007466973"
"124","probabilistic","uniform","history","mutual","59421","59421","450","1557","0.7203598054559837"
"131","probabilistic","uniform","history","self","53403","53403","450","1249","0.7206842312229651"
"130","probabilistic","uniform","history","mutual","58846","58846","450","1612","0.7199962614281344"
"135","probabilistic","uniform","history","self","54787","54787","450","1288","0.7206819135926406"
"134","probabilistic","uniform","history","self","54658","54658","450","1317","0.7204892239013502"
"140","probabilistic","uniform","history","self","45738","45738","450","960","0.7206567842931478"
"137","probabilistic","uniform","history","self","46450","46450","450","997","0.7205855758880516"
"141","probabilistic","uniform","history","opponent","49378","49378","450","1197","0.720300538701446"
"136","probabilistic","uniform","history","self","52604","52604","450","1354","0.7203919854003498"
"142","probabilistic","uniform","history","opponent","48041","48041","450","1095","0.7204304656439292"
"138","probabilistic","uniform","history","self","51351","51351","450","1214","0.7204961928686882"
"143","probabilistic","uniform","history","opponent","50503","50503","450","1181","0.7204245292358871"
"139","probabilistic","uniform","history","self","56658","56658","450","1427","0.7204543047760245"
"144","probabilistic","uniform","history","opponent","52958","52958","450","1213","0.7208750330450545"
"146","probabilistic","uniform","history","opponent","50802","50802","450","1189","0.7206035195464745"
"145","probabilistic","uniform","history","opponent","51656","51656","450","1197","0.7200828558153941"
"147","probabilistic","uniform","history","opponent","48159","48159","450","1104","0.7207666272140201"
"148","probabilistic","uniform","history","opponent","49675","49675","450","1094","0.7206441872169099"
"149","probabilistic","uniform","history","opponent","54660","54660","450","1306","0.7205744603000366"
"150","probabilistic","uniform","history","opponent","51837","51837","450","1238","0.720373478403457"
"151","probabilistic","uniform","knowledge","mutual","55763","55763","450","1447","0.7201997740437208"
"154","probabilistic","uniform","knowledge","mutual","50507","50507","450","1171","0.7200942443621676"
"155","probabilistic","uniform","knowledge","mutual","52863","52863","450","1252","0.7207214876189394"
"153","probabilistic","uniform","knowledge","mutual","55846","55846","450","1394","0.7204079074598001"
"161","probabilistic","uniform","knowledge","self","42765","42765","450","884","0.7200163685256634"
"156","probabilistic","uniform","knowledge","mutual","47710","47710","450","1068","0.7205030391951375"
"152","probabilistic","uniform","knowledge","mutual","54084","54084","450","1230","0.7204884993713483"
"157","probabilistic","uniform","knowledge","mutual","50206","50206","450","1211","0.7201987810221886"
"162","probabilistic","uniform","knowledge","self","44974","44974","450","880","0.720794236670076"
"164","probabilistic","uniform","knowledge","self","38454","38454","450","606","0.720577833255318"
"159","probabilistic","uniform","knowledge","mutual","52912","52912","450","1332","0.7204868460840641"
"160","probabilistic","uniform","knowledge","mutual","51593","51593","450","1231","0.7201616498362181"
"158","probabilistic","uniform","knowledge","mutual","57889","57889","450","1508","0.7202162759764377"
"165","probabilistic","uniform","knowledge","self","41699","41699","450","738","0.7210532626681695"
"163","probabilistic","uniform","knowledge","self","55917","55917","450","1546","0.7198544270973048"
"166","probabilistic","uniform","knowledge","self","42605","42605","450","786","0.7209177326604859"
"168","probabilistic","uniform","knowledge","self","40778","40778","450","681","0.7208543822649467"
"173","probabilistic","uniform","knowledge","opponent","38785","38785","450","607","0.7206909887843238"
"167","probabilistic","uniform","knowledge","self","47419","47419","450","1021","0.720641515004534"
"170","probabilistic","uniform","knowledge","self","45196","45196","450","896","0.7208093636605009"
"169","probabilistic","uniform","knowledge","self","51593","51593","450","1207","0.7202837594247281"
"171","probabilistic","uniform","knowledge","opponent","46859","46859","450","904","0.7213086066710771"
"181","probabilistic","clumped","history","mutual","16273","16273","450","820","0.5162846432741351"
"172","probabilistic","uniform","knowledge","opponent","48978","48978","450","999","0.7210604761321411"
"182","probabilistic","clumped","history","mutual","16320","16320","450","768","0.5360600490196078"
"176","probabilistic","uniform","knowledge","opponent","46476","46476","450","969","0.7205202685256906"
"175","probabilistic","uniform","knowledge","opponent","47915","47915","450","1080","0.7207158509861212"
"183","probabilistic","clumped","history","mutual","16185","16185","450","684","0.514266295953043"
"184","probabilistic","clumped","history","mutual","16219","16219","450","736","0.528337135458413"
"180","probabilistic","uniform","knowledge","opponent","37469","37469","530","450","0.7213776722090262"
"185","probabilistic","clumped","history","mutual","16209","16209","450","751","0.5029304707261397"
"186","probabilistic","clumped","history","mutual","16160","16160","450","649","0.5114418316831683"
"174","probabilistic","uniform","knowledge","opponent","55442","55442","450","1354","0.7205241513653908"
"177","probabilistic","uniform","knowledge","opponent","53966","53966","450","1296","0.7208056924730386"
"187","probabilistic","clumped","history","mutual","16207","16207","450","671","0.5402233602764237"
"188","probabilistic","clumped","history","mutual","16234","16234","450","750","0.5218122459036592"
"189","probabilistic","clumped","history","mutual","16219","16219","451","751","0.5292249830445772"
"178","probabilistic","uniform","knowledge","opponent","56845","56845","450","1517","0.7202603571114433"
"190","probabilistic","clumped","history","mutual","16166","16166","450","715","0.5191698626747494"
"191","probabilistic","clumped","history","self","16146","16146","450","649","0.5240431066518023"
"192","probabilistic","clumped","history","self","16178","16178","450","724","0.525188527630115"
