variable,strategy,distribution,triangle.transitivity,escalation,dci,steepness,slope
rhp,opponent,uniform,1,0.5,0.951111111,-0.839775787,0.000171915
rhp,opponent,uniform,1,0.5,0.928888889,-0.86224825,7.34E-05
rhp,opponent,uniform,1,0.5,0.906666667,-0.875104597,-6.77E-05
rhp,opponent,uniform,0.966666667,0.5,0.893333333,-0.856130324,-0.000174613
history,mutual,uniform,0.964285714,0.5,0.911111111,-0.867856158,9.49E-05
history,mutual,uniform,1,0.499445061,0.853333333,-0.849412439,-4.11E-05
history,mutual,uniform,1,0.5,0.844444444,-0.851186924,-4.07E-05
history,mutual,uniform,1,0.5,0.942222222,-0.886182425,-0.000135962
history,mutual,uniform,1,0.5,0.888888889,-0.87091306,-1.33E-05
history,mutual,uniform,1,0.5,0.857777778,-0.860043189,-0.000134406
history,mutual,uniform,1,0.5,0.942222222,-0.883817787,0.000175237
history,mutual,uniform,1,0.5,0.862222222,-0.853147262,6.79E-05
history,mutual,uniform,0.933333333,0.5,0.866666667,-0.848487177,-2.53E-05
history,mutual,uniform,1,0.5,0.942222222,-0.885883906,-6.04E-05
history,self,uniform,1,0.5,0.924444444,-0.874001999,8.74E-05
history,self,uniform,1,0.5,0.942222222,-0.886402292,1.08E-05
history,self,uniform,0.966666667,0.5,0.862222222,-0.856742345,0.000136168
history,self,uniform,1,0.5,0.906666667,-0.876906067,-1.21E-05
history,self,uniform,1,0.5,0.911111111,-0.884867481,4.06E-05
history,self,uniform,1,0.5,0.884444444,-0.878299839,8.04E-05
history,self,uniform,1,0.5,0.937777778,-0.879373367,-2.93E-05
history,self,uniform,0.933333333,0.5,0.906666667,-0.850995494,-8.94E-05
history,self,uniform,1,0.5,0.92,-0.872519819,6.76E-05
history,self,uniform,0.961904762,0.499445061,0.88,-0.852489918,-0.000135287
history,opponent,uniform,1,0.5,0.937777778,-0.890052362,-2.84E-05
history,opponent,uniform,1,0.5,0.951111111,-0.889203013,-0.000110083
history,opponent,uniform,0.966666667,0.5,0.924444444,-0.87537428,9.19E-05
history,opponent,uniform,0.961538462,0.5,0.844444444,-0.844825545,0.00010777
history,opponent,uniform,1,0.5,0.844444444,-0.83926782,-0.000131746
history,opponent,uniform,1,0.5,0.933333333,-0.878986981,0.000129393
history,opponent,uniform,0.966666667,0.5,0.897777778,-0.853196362,0.000155837
history,opponent,uniform,1,0.5,0.924444444,-0.871467568,-0.000136011
history,opponent,uniform,1,0.5,0.964444444,-0.893310786,5.76E-05
history,opponent,uniform,1,0.5,0.924444444,-0.882065623,6.44E-05
