variable,strategy,distribution,triangle.transitivity,escalation,dci,steepness,slope
rhp,self,uniform,0.595959596,0.5,0.488888889,-0.434184442,0.00050917
rhp,self,uniform,0.555555556,0.5,0.435555556,-0.396048768,0.000577527
rhp,opponent,uniform,0.641025641,0.5,0.528888889,-0.427135168,-4.73E-05
rhp,opponent,uniform,0.357142857,0.5,0.395555556,-0.344237796,-8.12E-05
rhp,opponent,uniform,0.5625,0.5,0.28,-0.23468981,-0.000277641
rhp,opponent,uniform,-0.052631579,0.5,0.226666667,-0.095727357,-0.0003179
rhp,opponent,uniform,0.346153846,0.5,0.297777778,-0.214265628,0.000590111
rhp,opponent,uniform,0.443037975,0.5,0.297777778,-0.269893616,-0.000134567
rhp,opponent,uniform,0.903614458,0.5,0.506666667,-0.471104578,0.000185064
rhp,opponent,uniform,0.587628866,0.5,0.511111111,-0.465587736,0.00010405
rhp,opponent,uniform,0.885714286,0.5,0.546666667,-0.523632765,-9.44E-05
rhp,opponent,uniform,0.296703297,0.5,0.333333333,-0.248666636,-0.001168364
history,mutual,uniform,-0.210526316,0.5,0.253333333,-0.124267122,-2.74E-05
history,mutual,uniform,0.042253521,0.5,0.226666667,-0.161588689,-0.000132301
history,mutual,uniform,0.192307692,0.5,0.262222222,-0.149972413,-0.000250273
history,mutual,uniform,0.073170732,0.5,0.222222222,-0.139497188,-0.000282011
history,mutual,uniform,-0.014925373,0.5,0.253333333,-0.19618163,-0.000300758
history,mutual,uniform,-0.237113402,0.5,0.217777778,-0.106299912,-0.000433969
history,mutual,uniform,0.042253521,0.5,0.257777778,-0.104286311,6.11E-05
history,mutual,uniform,-0.066666667,0.5,0.262222222,-0.165556586,1.67E-05
history,mutual,uniform,0.095238095,0.5,0.244444444,-0.152529325,-0.000923341
history,mutual,uniform,0.219512195,0.5,0.217777778,-0.16447095,-0.00044663
history,self,uniform,0.257731959,0.5,0.235555556,-0.163653457,0.000869236
history,self,uniform,-0.272727273,0.5,0.266666667,-0.086701884,0.001041349
history,self,uniform,0.00952381,0.5,0.284444444,-0.126118795,0.000602175
history,self,uniform,0.324675325,0.5,0.226666667,-0.16866651,0.000117011
history,self,uniform,-0.060240964,0.5,0.36,-0.173533859,0.000178769
