"","0","1","2","3","4","5","6","7","8","9"
"0",0,10,0,17,3,2,0,8,2,16
"1",0,0,0,2,0,0,0,5,0,15
"2",10,10,0,11,7,8,0,13,4,12
"3",0,4,0,0,0,0,0,6,0,24
"4",3,13,0,16,0,3,0,9,4,20
"5",3,11,0,10,2,0,0,8,3,24
"6",6,3,3,7,4,7,0,6,7,13
"7",0,5,0,5,0,0,0,0,0,13
"8",5,9,0,10,0,5,0,7,0,17
"9",0,0,0,0,0,0,0,0,0,0
