"","0","1","2","3","4","5","6","7","8","9"
"0",0,0,0,0,13,7,9,0,9,0
"1",10,0,12,0,12,11,15,6,16,4
"2",7,0,0,0,7,9,4,4,10,0
"3",8,10,5,0,17,19,19,10,19,8
"4",0,0,0,0,0,8,9,0,9,0
"5",0,0,0,0,0,0,3,0,3,0
"6",0,0,0,0,0,5,0,0,5,0
"7",12,0,6,0,8,12,15,0,11,0
"8",0,0,0,0,0,4,0,0,0,0
"9",4,3,9,0,11,8,9,7,9,0
