winner, loser, victorycount
9, 5, 8
8, 5, 4
8, 0, 0
7, 3, 1
2, 6, 2
3, 9, 2
7, 9, 3
5, 2, 2
9, 8, 4
4, 7, 18
4, 2, 14
4, 0, 13
5, 0, 8
5, 9, 1
5, 4, 3
1, 3, 4
6, 7, 3
8, 1, 3
5, 6, 3
5, 7, 4
4, 1, 9
1, 7, 2
9, 2, 16
8, 6, 4
4, 8, 16
3, 1, 15
5, 3, 1
1, 5, 0
0, 5, 2
9, 6, 16
0, 3, 1
2, 1, 4
5, 1, 1
1, 8, 1
8, 9, 3
6, 2, 2
0, 7, 2
6, 5, 4
7, 6, 1
6, 1, 3
7, 2, 4
6, 3, 3
6, 8, 6
2, 4, 5
3, 5, 5
0, 9, 2
8, 4, 2
1, 6, 1
3, 7, 4
9, 1, 22
3, 0, 11
9, 4, 12
1, 4, 3
6, 4, 4
9, 3, 8
9, 7, 9
7, 0, 4
0, 1, 1
8, 3, 2
2, 9, 1
0, 2, 0
0, 4, 2
4, 9, 11
4, 6, 15
0, 8, 5
1, 0, 4
6, 9, 6
2, 0, 0
3, 8, 4
9, 0, 9
7, 8, 3
4, 5, 8
8, 2, 2
0, 6, 3
2, 3, 3
3, 2, 9
5, 8, 3
4, 3, 12
3, 4, 5
2, 7, 1
1, 9, 3
7, 4, 3
8, 7, 4
2, 8, 3
7, 5, 4
1, 2, 2
2, 5, 1
6, 0, 2
7, 1, 0
3, 6, 11
