"","Knowledge.Mutual","History.Mutual","Knowledge.Self","History.Self","Knowledge.Opponent","History.Opponent"
"Attack Proportion",0.5,0.5,0.500055493895671,0.5,0.5,0.5
"Directional Consitancy Index",0.390666666666667,0.241777777777778,0.430345405272235,0.265777777777778,0.392444444444444,0.241333333333333
"Triangle Transitivity",0.65847269183127,0.0135503998976253,0.669532958450484,0.050655392177464,0.497088964628681,0.0826888588551718
"Steepness",0.358761684672831,0.146465012557259,0.396102953583034,0.150582291594324,0.329494109042996,0.155266973954421
"Average Attacks",450.5,450.1,450.2,450.1,450.2,450.1
"Average Avoids",450,450,450,450,450,450
