"","Knowledge.Mutual","History.Mutual","Knowledge.Self","History.Self","Knowledge.Opponent","History.Opponent"
"Attack Proportion",0.500166481687014,0.499889012208657,0.500055493895671,0.499944506104329,0.5,0.5
"Directional Consitancy Index",0.911211628479921,0.928461197339246,0.921826065533383,0.894251786154225,0.919594974131559,0.926232076866223
"Triangle Transitivity",0.996666666666667,0.986190476190476,0.993095238095238,0.982857142857143,0.996666666666667,1
"Steepness",0.866126854785664,0.87060638972467,0.852912833145227,0.861840666490714,0.873923328839386,0.866253572979688
"Average Attacks",450.5,450.1,450.2,450.1,450.2,450.1
"Average Avoids",450.2,450.3,450.1,450.2,450.2,450.1
