,Knowledge.Self,History.Self,Knowledge.Opponent,History.Opponent,Knowledge.Mutual,History.Mutual,
Attack Proportion,0.5,0.500055494,0.5,0.5,0.5,0.500055494,
Directional Consitancy Index,0.358222222,0.267273713,0.323111111,0.266666667,0.32,0.275270756,0.301757412
Triangle Transitivity,0.522194241,-0.051974824,0.274722677,-0.073826714,0.131632069,0.036493839,0.139873548
Steepness,0.368860592,0.138936876,0.295339792,0.15115358,0.21703622,0.178411456,0.224956419
Average Attacks,450,450.1,450,450,450,450.1,450.0333333
Average Avoids,450,450,450,450,450,450,450
