,Knowledge.Self,History.Self,Knowledge.Opponent,History.Opponent,Knowledge.Mutual,History.Mutual,
Attack Proportion,0.5,0.500055494,0.500055494,0.5,0.500055494,0.500110988,
Directional Consitancy Index,0.508989406,0.330523774,0.447346637,0.349473269,0.414922887,0.34978172,0.400172949
Triangle Transitivity,0.664399194,0.242320757,0.696216761,0.385679515,0.592737411,0.370151167,0.491917468
Steepness,0.474029228,0.245034721,0.485595468,0.28838691,0.428991996,0.300137815,0.37036269
Average Attacks,450.1,450.2,450.2,450.1,450.2,450.3,450.1833333
Average Avoids,450.1,450.1,450.1,450.1,450.1,450.1,450.1
