"","Heterogenous","Homogenous","Scenario"
"1",0.523193001255401,0.720535670550833,"Self Knowledge"
"2",0.532973334925024,0.720197071728415,"Self History"
"3",0.528793448103634,0.720565010972867,"Opponent Knowledge"
"4",0.527714169892781,0.720218607766998,"Opponent History"
"5",0.531177507537449,0.720378590955959,"Mutual Knowledge"
"6",0.525116233274897,0.720410349994189,"Mutual History"
