"","Knowledge.Mutual","History.Mutual","Knowledge.Self","History.Self","Knowledge.Opponent","History.Opponent"
"Attack Proportion",0.500221975582686,0.5,0.500055493895671,0.5,0.500055493895671,0.5
"Directional Consitancy Index",0.246605567873861,0.257940379403794,0.2589967972407,0.260610002463661,0.248333086967233,0.26550283321015
"Triangle Transitivity",0.0495221875271435,0.106068799050588,0.103137906250034,0.116219907139315,0.0488740884519291,0.188507294584442
"Steepness",0.149922371397041,0.172457238816161,0.182133580400171,0.190848769707907,0.160140283107142,0.204582117403584
"Average Attacks",450.5,450.1,450.2,450.1,450.2,450.1
"Average Avoids",450.1,450.1,450.1,450.1,450.1,450.1
