"BehaviorSpace results (NetLogo 6.2.2)"
"dominance_despotism_energy.nlogo"
"sigmoid experiment"
"06/09/2023 13:55:56:660 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","winning","resource-dist","assessment-info","assessment-who","function","[step]","ticks","sum [victory-counter] of victories","sum [avoid-counter] of fightsavoided","foraging-efficiency-time"
"73","probabilistic","clumped","knowledge","mutual","sigmoid","16157","16157","450","714","0.5160425821625303"
"75","probabilistic","clumped","knowledge","mutual","sigmoid","16220","16220","450","796","0.5262762022194821"
"54","probabilistic","uniform","knowledge","mutual","sigmoid","60819","60819","450","1620","0.7207139216363307"
"74","probabilistic","clumped","knowledge","mutual","sigmoid","16219","16219","450","680","0.5350391516123068"
"53","probabilistic","uniform","knowledge","mutual","sigmoid","69887","69887","450","2127","0.7201968892640978"
"58","probabilistic","uniform","knowledge","mutual","sigmoid","53975","53975","450","1413","0.7205465493283928"
"77","probabilistic","clumped","knowledge","mutual","sigmoid","16210","16210","450","671","0.5343306600863664"
"76","probabilistic","clumped","knowledge","mutual","sigmoid","16143","16143","451","662","0.5223564393235458"
"78","probabilistic","clumped","knowledge","mutual","sigmoid","16166","16166","450","708","0.5167512062353088"
"79","probabilistic","clumped","knowledge","mutual","sigmoid","16176","16176","450","762","0.5113686943620179"
"55","probabilistic","uniform","knowledge","mutual","sigmoid","64322","64322","450","1824","0.720288548241659"
"80","probabilistic","clumped","knowledge","mutual","sigmoid","16213","16213","450","728","0.5327638314932461"
"59","probabilistic","uniform","knowledge","mutual","sigmoid","58154","58154","450","1614","0.7197630429549127"
"60","probabilistic","uniform","knowledge","mutual","sigmoid","61999","61999","450","1648","0.7205519443861997"
"57","probabilistic","uniform","knowledge","mutual","sigmoid","75875","75875","450","2470","0.7199789126853378"
"83","initiator","uniform","history","mutual","sigmoid","48237","48237","450","1145","0.7202894043991126"
"86","initiator","uniform","history","mutual","sigmoid","46862","46862","450","1100","0.7207417523793266"
"81","initiator","uniform","history","mutual","sigmoid","50939","50939","450","1248","0.7204420974106285"
"82","initiator","uniform","history","mutual","sigmoid","49954","49954","450","1200","0.720352724506546"
"84","initiator","uniform","history","mutual","sigmoid","48671","48671","450","1163","0.7201249203838015"
"88","initiator","uniform","history","mutual","sigmoid","47054","47054","450","1041","0.7205848599481447"
"87","initiator","uniform","history","mutual","sigmoid","50941","50941","450","1224","0.7201880606976698"
"85","initiator","uniform","history","mutual","sigmoid","48355","48355","450","1176","0.7200289525385173"
"90","initiator","uniform","history","mutual","sigmoid","51774","51774","450","1208","0.7202707922895664"
"89","initiator","uniform","history","mutual","sigmoid","54818","54818","450","1340","0.7203455069502718"
"94","initiator","uniform","knowledge","mutual","sigmoid","51110","51110","450","1362","0.7200645666210136"
