,Knowledge.Self,History.Self,Knowledge.Opponent,History.Opponent,Knowledge.Mutual,History.Mutual,
Attack Proportion,0.500055494,0.5,0.500055494,0.5,0.500221976,0.5,
Directional Consitancy Index,0.258996797,0.260610002,0.248333087,0.265502833,0.246605568,0.257940379,0.256331445
Triangle Transitivity,0.103137906,0.116219907,0.048874088,0.188507295,0.049522188,0.106068799,0.102055031
Steepness,0.18213358,0.19084877,0.160140283,0.204582117,0.149922371,0.172457239,0.176680727
Average Attacks,450.2,450.1,450.2,450.1,450.5,450.1,
Average Avoids,450.1,450.1,450.1,450.1,450.1,450.1,
