,Knowledge.Self,History.Self,Knowledge.Opponent,History.Opponent,Knowledge.Mutual,History.Mutual,
Attack Proportion,0.500055494,0.5,0.5,0.5,0.5,0.5,
Directional Consitancy Index,0.430345405,0.265777778,0.392444444,0.241333333,0.390666667,0.241777778,0.327057568
Triangle Transitivity,0.669532958,0.050655392,0.497088965,0.082688859,0.658472692,0.0135504,0.328664878
Steepness,0.396102954,0.150582292,0.329494109,0.155266974,0.358761685,0.146465013,0.256112171
Average Attacks,450.2,450.1,450.2,450.1,450.5,450.1,
Average Avoids,450,450,450,450,450,450,
