,Knowledge.Self,History.Self,Knowledge.Opponent,History.Opponent,Knowledge.Mutual,History.Mutual,
Attack Proportion,0.500055494,0.499944506,0.5,0.5,0.500166482,0.499889012,
Directional Consitancy Index,0.921826066,0.894251786,0.919594974,0.926232077,0.911211628,0.928461197,0.916929621
Triangle Transitivity,0.993095238,0.982857143,0.996666667,1,0.996666667,0.986190476,0.992579365
Steepness,0.852912833,0.861840666,0.873923329,0.866253573,0.866126855,0.87060639,0.865277274
Average Attacks,450.2,450.1,450.2,450.1,450.5,450.1,450.2
Average Avoids,450.1,450.2,450.2,450.1,450.2,450.3,
