,Knowledge.Self,History.Self,Knowledge.Opponent,History.Opponent,Knowledge.Mutual,History.Mutual,
Attack Proportion,0.500055494,0.499944506,0.5,0.5,0.5,0.499944506,
Directional Consitancy Index,0.91734713,0.907555556,0.907555556,0.914666667,0.936,0.891111111,0.91237267
Triangle Transitivity,0.99,0.986190476,0.986428571,0.989487179,0.996666667,0.989761905,0.9897558
Steepness,0.861173209,0.871259862,0.860203561,0.871775034,0.880426457,0.865693033,0.868421859
Average Attacks,450.1,450,450,450,450,450,450.0166667
Average Avoids,450,450.1,450,450,450,450.1,
