,Knowledge.Self,History.Self,Knowledge.Opponent,History.Opponent,Knowledge.Mutual,History.Mutual,
Attack Proportion,0.500,0.500,0.500,0.500,0.500,0.500,0.500
Directional Consitancy Index,0.439,0.314,0.390,0.302,0.368,0.288,0.350
Triangle Transitivity,0.718,0.194,0.557,0.054,0.427,0.108,0.343
Steepness,0.439,0.255,0.402,0.182,0.343,0.187,0.301
Average Attacks,450.700,450.800,450.200,450.600,450.400,450.300,450.500
Average Avoids,450.600,450.600,450.600,450.600,450.600,450.600,450.600
