,Knowledge.Self,History.Self,Knowledge.Opponent,History.Opponent,Knowledge.Mutual,History.Mutual,
Attack Proportion,0.500,0.500,0.500,0.500,0.500,0.500,0.500
Directional Consitancy Index,0.456,0.255,0.420,0.249,0.402,0.267,0.342
Triangle Transitivity,0.663,-0.014,0.702,0.073,0.675,-0.034,0.344
Steepness,0.407,0.154,0.407,0.154,0.374,0.146,0.274
Average Attacks,450.300,450.300,450.300,450.100,450.200,450.100,450.217
Average Avoids,450.000,450.000,450.000,450.000,450.000,450.000,450.000
,,,,,,,
