"","Knowledge.Mutual","History.Mutual","Knowledge.Self","History.Self","Knowledge.Opponent","History.Opponent"
"Attack Proportion",0.5,0.499944506104329,0.500055493895671,0.499944506104329,0.5,0.5
"Directional Consitancy Index",0.936,0.891111111111111,0.917347129834935,0.907555555555556,0.907555555555556,0.914666666666667
"Triangle Transitivity",0.996666666666667,0.989761904761905,0.99,0.986190476190476,0.986428571428571,0.98948717948718
"Steepness",0.880426457115747,0.865693032658203,0.861173209487725,0.871259862241146,0.860203560553961,0.871775033938136
"Average Attacks",450,450,450.1,450,450,450
"Average Avoids",450,450.1,450,450.1,450,450
